Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líq.,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. no Período,Rentab. Patr. Acumulada,Vacância Física,Vacância Financeira,Quantidade Ativos
FIVN11,Shoppings,3.25,1841,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,72396365.96,7.69,0.42,,,,,56.00,,1
BZLI11,Títulos e Val Mob,17.00,33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.68,1.14,448456317.82,10.80,1.57,,,,,,,0
XTED11,Lajes Corporativas,8.82,2223,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,1.10,-37.83,27688895.17,13.26,0.67,,,,,0.00,100.00,1
ALMI11,Lajes Corporativas,821.00,70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.27,2.27,-28.29,224603756.71,220.24,0.41,,,,,64.05,,1
PABY11,Híbrido,12.35,122,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-19.84,-19.84,-31.62,-12536949.41,-16.53,-0.75,,,,,,,1
ORPD11,Títulos e Val Mob,11.00,50,1.38,,,,,,,,,,,,42900966.32,147.93,0.07,,,,,,,0
GSFI11,Shoppings,5.15,1185,0.00,0.03,0.03,0.03,0.03,0.01,0.00,0.00,0.03,0.00,0.03,0.03,16534856.41,14.16,0.36,,,,,10.30,,10
PRSV11,Lajes Corporativas,125.00,10,1.62,0.42,1.53,2.91,5.95,0.51,0.48,0.50,4.46,5.30,5.74,-11.25,42731432.05,219.14,0.57,,,,,40.90,,2
FAMB11B,Lajes Corporativas,716.00,434,9.16,0.56,2.17,4.78,10.43,0.72,0.80,0.87,8.82,-47.80,-47.51,-47.80,313538497.89,2991.78,0.24,,,,,100.00,,1
FMOF11,Lajes Corporativas,55.00,1,0.64,,,,,,,,,,,,60314340.44,118.73,0.46,,,,,52.08,,1
HGRS11,Residencial,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,151277514.01,101.33,,,,,,,,0
RBDS11,Residencial,3.34,96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,254363.78,20.10,0.17,,,,,,,0
VXXV11,Outros,990.00,3536,10.76,,,,,,,,,,,,249711450.21,941.31,1.05,,,,,,,0
HRDF11,Híbrido,0.94,111,6.80,,,,,,,,,,,,938392.29,1.24,0.76,,,,,,,0
CJCT11,Lajes Corporativas,67.50,806,0.00,,,,,,,,,,,,206620369.41,65.80,1.03,,,,,59.00,,1
CTXT11,Lajes Corporativas,11.59,78,0.09,0.39,0.78,1.36,5.53,0.26,0.23,0.46,1.36,-2.58,-2.20,-39.31,108223523.09,34.30,0.34,,,,,97.00,,1
SRVD11,Títulos e Val Mob,7.00,54,0.10,1.01,0.00,0.00,0.00,0.00,0.00,0.00,1.01,0.00,1.01,1.01,71282243.86,0.74,9.46,,,,,,,0
RBIR11,Residencial,61.50,131,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,145499599.99,95.18,0.65,,,,,,,0
CARE11,Híbrido,2.12,3454,0.00,0.23,0.66,1.36,1.60,0.22,0.23,0.13,1.36,-2.63,-2.41,5.65,29193995.38,8.14,0.26,,,,,,,0
RBGS11,Shoppings,28.45,5157,0.18,0.62,1.59,2.73,5.12,0.53,0.46,0.43,5.12,-1.90,-1.29,-28.71,97865283.71,90.78,0.31,0.18,0.00,0.18,1.17,13.00,,1
IBFF11,Títulos e Val Mob,66.40,1924,0.30,0.44,2.01,4.58,9.52,0.67,0.76,0.79,5.42,7.50,7.98,19.59,9855905.16,14.78,4.49,,,,,,,0
YUFI11B,Residencial,,,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,5131566.94,103.59,,,,,,,,0
CORM11,Híbrido,99.42,20270,0.77,0.90,2.76,5.35,11.38,0.92,0.89,0.95,6.20,-2.97,-2.10,-4.27,85655510.06,84.20,1.18,,,,,,,0
BLCP11,Outros,91.00,123,0.56,0.62,1.72,3.46,6.64,0.57,0.58,0.55,5.31,-0.54,0.08,19.93,256580339.90,111.74,0.81,0.50,-0.02,0.49,15.81,6.20,,2
RBCO11,Lajes Corporativas,44.00,2717,0.20,0.45,1.50,4.23,8.64,0.50,0.70,0.72,7.12,5.64,6.12,-15.03,34273942.37,90.52,0.49,,,,,46.00,50.00,4
VVPR11,Híbrido,101.50,2211,0.89,0.88,2.47,4.88,9.73,0.82,0.81,0.81,6.57,2.01,2.91,15.95,22632234.18,98.03,1.04,,,,,0.00,,6
MBRF11,Outros,679.00,438,10.00,1.47,4.42,9.59,17.77,1.47,1.60,1.48,16.27,0.00,1.47,15.18,78384711.06,771.02,0.88,,,,,0.00,,2
BTCR11,Títulos e Val Mob,88.00,6663,0.90,1.00,2.93,6.64,13.56,0.98,1.11,1.13,11.59,-6.19,-5.26,9.82,458252683.73,95.27,0.92,0.94,0.64,1.59,4.62,,,0
KNRE11,Residencial,0.67,4286,0.04,6.74,0.00,0.00,0.00,0.00,0.00,0.00,6.74,0.00,6.74,6.74,1436869.14,0.76,0.89,,,,,,,0
JRDM11,Shoppings,80.30,299,0.65,0.84,2.27,4.38,8.67,0.76,0.73,0.72,6.64,-2.41,-1.60,17.06,225243958.17,89.28,0.90,,,,,2.77,,1
FEXC11,Títulos e Val Mob,83.50,9153,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,6.46,101470167.13,90.57,0.92,,,,,,,0
ARCT11,Híbrido,87.13,6496,0.39,0.44,2.13,4.81,13.92,0.71,0.80,1.16,13.92,-0.42,0.03,-7.05,369956160.07,99.77,0.87,0.76,0.04,0.80,6.31,,,4
JRDM11,Shoppings,80.30,299,0.52,0.65,2.08,4.20,8.49,0.69,0.70,0.71,6.46,-0.05,0.60,19.67,225243958.17,89.28,0.90,,,,,2.77,,1
BMLC11,Lajes Corporativas,101.99,43,0.66,0.65,2.50,4.71,9.20,0.83,0.78,0.77,0.65,0.00,0.65,0.65,108966338.84,109.14,0.93,0.81,-0.05,0.76,4.10,7.00,,2
ONEF11,Lajes Corporativas,174.00,350,0.98,0.57,1.67,3.29,6.77,0.56,0.55,0.56,0.57,0.00,0.57,0.57,183590865.67,201.53,0.86,,,,,0.00,,1
RBRR11,Títulos e Val Mob,84.75,33549,0.95,1.14,2.98,5.55,12.52,0.99,0.92,1.04,1.14,0.00,1.14,1.14,1269607818.89,94.47,0.90,1.01,0.00,1.01,1.01,,,0
RECT11,Híbrido,51.30,9660,0.54,1.06,2.89,5.38,10.25,0.96,0.90,0.85,1.06,0.00,1.06,1.06,798131351.87,93.42,0.55,0.58,0.00,0.58,0.58,15.10,,8
TORD11,Outros,5.48,86648,0.05,0.93,2.57,5.12,11.45,0.86,0.85,0.95,0.93,0.00,0.93,0.93,490440876.72,13.99,0.39,0.36,0.00,0.36,0.36,,,0
BLMG11,Logística,67.94,6577,0.79,1.15,3.29,6.08,11.90,1.10,1.01,0.99,1.15,0.00,1.15,1.15,361649669.40,94.91,0.72,0.83,0.00,0.83,0.83,0.00,0.00,4
BCFF11,Títulos e Val Mob,63.17,35447,0.56,0.89,2.58,4.96,9.96,0.86,0.83,0.83,0.89,0.00,0.89,0.89,1903260829.67,75.57,0.84,0.74,-3.03,-2.31,1.30,,,0
GCRA11,Híbrido,95.69,6183,1.22,1.28,3.80,7.39,0.00,1.27,1.23,0.00,1.28,0.00,1.28,1.28,17164899.62,98.04,0.98,1.24,0.00,1.24,1.24,,,0
